['546', '720', '866', '944', '420', '22', '633', '352', '201', '469', '144', '59', '267', '492', '67', '649', '946', '50', '484', '481', '151', '52', '418', '738', '142']
['837', '996', '730', '635', '182', '803', '133', '389', '9', '351', '794', '553', '283', '616', '462', '171', '202', '319', '121', '49', '97', '104', '657', '756', '892']
['337', '807', '244', '78', '466', '431', '433', '456', '867', '884', '677', '888', '100', '509', '7', '729', '184', '614', '765', '622', '391', '295', '14', '895', '931']
['28', '37', '13', '98', '489', '950', '346', '650', '723', '422', '521', '55', '39', '681', '805', '779', '167', '503', '873', '322', '152', '511', '531', '542', '80']
['370', '212', '287', '801', '27', '762', '537', '215', '301', '447', '116', '688', '213', '799', '10', '890', '136', '494', '804', '793', '199', '538', '132', '318', '51']
['596', '561', '772', '588', '822', '809', '350', '102', '472', '870', '806', '966', '323', '823', '437', '188', '258', '621', '810', '332', '368', '541', '686', '942', '632']
['851', '785', '618', '475', '265', '191', '687', '230', '487', '696', '854', '519', '41', '147', '450', '268', '716', '279', '183', '273', '214', '977', '65', '234', '421']
['952', '36', '175', '93', '997', '398', '674', '376', '761', '160', '700', '196', '976', '334', '645', '689', '155', '754', '593', '73', '359', '938', '567', '200', '20']
['707', '549', '572', '739', '33', '940', '153', '945', '902', '698', '855', '373', '773', '388', '400', '307', '38', '536', '442', '172', '29', '560', '775', '415', '930']
['434', '911', '477', '591', '872', '419', '648', '673', '452', '89', '518', '978', '685', '973', '6', '933', '491', '246', '300', '879', '383', '599', '207', '68', '139']
['461', '655', '749', '247', '339', '586', '818', '811', '569', '305', '316', '777', '289', '590', '233', '740', '354', '379', '791', '857', '714', '236', '150', '378', '889']
['54', '500', '238', '623', '79', '203', '186', '235', '957', '523', '411', '306', '937', '210', '251', '909', '271', '706', '697', '897', '656', '386', '498', '636', '951']
['266', '242', '990', '478', '84', '460', '627', '907', '106', '280', '95', '176', '718', '497', '527', '138', '275', '709', '225', '816', '197', '394', '107', '970', '522']
['819', '194', '146', '849', '760', '759', '226', '335', '23', '262', '562', '445', '919', '92', '72', '168', '619', '342', '66', '57', '124', '218', '114', '547', '594']
['177', '285', '5', '914', '377', '584', '869', '457', '122', '189', '291', '864', '615', '42', '311', '958', '15', '769', '728', '964', '846', '239', '676', '901', '263']
['575', '528', '416', '658', '927', '44', '362', '123', '294', '333', '652', '109', '660', '451', '372', '900', '570', '344', '550', '193', '19', '939', '974', '126', '18']
['856', '948', '858', '887', '735', '314', '413', '694', '968', '112', '499', '356', '164', '984', '825', '934', '800', '781', '871', '34', '336', '427', '85', '985', '514']
['320', '755', '894', '405', '276', '980', '345', '43', '559', '880', '886', '734', '430', '31', '532', '969', '70', '254', '513', '325', '663', '780', '47', '826', '703']
['441', '282', '992', '91', '666', '485', '634', '387', '453', '568', '245', '876', '252', '313', '220', '162', '830', '592', '118', '61', '53', '545', '358', '75', '165']
['69', '321', '580', '308', '841', '16', '331', '243', '630', '790', '745', '292', '408', '299', '83', '349', '609', '341', '449', '46', '719', '637', '384', '94', '525']
['564', '166', '721', '529', '577', '776', '440', '363', '259', '348', '468', '530', '479', '667', '495', '524', '286', '815', '432', '221', '611', '941', '877', '844', '105']
['338', '154', '508', '829', '644', '88', '438', '782', '3', '76', '428', '329', '665', '64', '298', '330', '642', '693', '454', '130', '364', '390', '928', '778', '140']
['874', '843', '157', '732', '802', '526', '552', '680', '195', '932', '30', '675', '840', '921', '929', '764', '821', '402', '551', '361', '250', '603', '455', '360', '852']
['366', '763', '711', '2', '993', '397', '170', '219', '71', '988', '12', '63', '249', '710', '758', '278', '717', '62', '629', '476', '185', '504', '664', '578', '910']
['241', '699', '40', '651', '25', '585', '173', '918', '274', '178', '555', '701', '692', '683', '863', '343', '426', '893', '156', '161', '303', '296', '743', '159', '60']
['277', '222', '410', '24', '403', '959', '583', '613', '96', '520', '507', '4', '429', '868', '861', '158', '211', '961', '983', '304', '488', '979', '850', '905', '995']
['783', '753', '912', '496', '770', '302', '967', '920', '987', '347', '812', '566', '143', '558', '817', '539', '406', '881', '208', '896', '149', '312', '972', '253', '35']
