['87', '890', '642', '327', '626']
['172', '533', '685', '464', '696']
['630', '482', '149', '724', '754']
['787', '646', '908', '16', '449']
['373', '401', '572', '596', '861']
['492', '329', '601', '120', '527']
['896', '94', '78', '842', '417']
['201', '583', '232', '604', '99']
['746', '476', '181', '23', '854']
['306', '364', '580', '299', '279']
['248', '10', '347', '478', '75']
['669', '506', '611', '981', '780']
['561', '996', '173', '444', '290']
['140', '186', '403', '607', '143']
['106', '735', '585', '388', '575']
['427', '0', '433', '825', '828']
['249', '288', '156', '231', '167']
['395', '56', '191', '164', '811']
['107', '968', '263', '848', '215']
['162', '993', '935', '76', '100']
['193', '226', '294', '441', '883']
['817', '318', '269', '49', '524']
['664', '151', '377', '376', '994']
['271', '923', '951', '786', '208']
['625', '402', '645', '960', '748']
['251', '666', '644', '792', '178']
['1', '260', '985', '797', '652']
['410', '989', '138', '189', '216']
['357', '961', '827', '904', '509']
['879', '285', '36', '901', '512']
['659', '925', '188', '144', '647']
['77', '455', '239', '466', '471']
['933', '27', '490', '818', '783']
['73', '355', '956', '852', '559']
['722', '758', '250', '581', '412']
['393', '137', '939', '322', '54']
['307', '574', '175', '706', '537']
['682', '663', '497', '640', '807']
['414', '308', '474', '440', '429']
['356', '456', '293', '986', '323']
['282', '697', '805', '511', '369']
['526', '747', '19', '28', '209']
['584', '653', '207', '678', '445']
['927', '855', '623', '199', '656']
['9', '418', '163', '286', '928']
['919', '413', '731', '423', '500']
['33', '998', '965', '699', '814']
['270', '727', '588', '979', '130']
['876', '43', '694', '906', '289']
['553', '95', '967', '274', '606']
['539', '150', '287', '897', '385']
['962', '784', '712', '316', '330']
['616', '523', '703', '692', '195']
['774', '887', '839', '823', '648']
['200', '942', '93', '2', '70']
['853', '862', '522', '34', '519']
['516', '438', '546', '538', '262']
['789', '157', '74', '127', '141']
['564', '242', '555', '407', '898']
['359', '627', '372', '309', '800']
['535', '691', '82', '589', '954']
['436', '305', '97', '301', '594']
['812', '867', '570', '686', '362']
['573', '600', '733', '997', '46']
['24', '836', '566', '47', '590']
['977', '495', '11', '736', '540']
['161', '931', '442', '899', '238']
['974', '571', '633', '475', '603']
['809', '443', '698', '4', '267']
['829', '40', '845', '168', '300']
['416', '155', '551', '460', '930']
['702', '353', '926', '675', '808']
['132', '804', '958', '371', '128']
['340', '124', '277', '618', '947']
['311', '222', '798', '972', '541']
['938', '767', '545', '71', '881']
['945', '225', '936', '409', '332']
['695', '728', '943', '794', '851']
['185', '681', '903', '905', '224']
['485', '426', '91', '479', '434']
['119', '886', '932', '661', '937']
['321', '707', '858', '422', '505']
['431', '139', '687', '806', '683']
['764', '569', '888', '450', '473']
['303', '507', '15', '615', '411']
['726', '103', '599', '875', '253']
['66', '946', '45', '227', '136']
['624', '701', '710', '761', '454']
['41', '276', '35', '55', '390']
['81', '68', '176', '542', '980']
['518', '111', '25', '911', '499']
['345', '796', '846', '212', '295']
['211', '676', '884', '844', '525']
['856', '514', '917', '713', '893']
['910', '154', '882', '89', '391']
['912', '133', '782', '734', '765']
['690', '929', '166', '711', '863']
['619', '667', '918', '203', '613']
['562', '331', '554', '684', '639']
['284', '543', '552', '236', '920']
['999', '850', '349', '816', '763']
['339', '129', '62', '152', '597']
['221', '773', '895', '614', '793']
['64', '206', '48', '404', '670']
['841', '319', '952', '510', '291']
['865', '92', '820', '489', '310']
['983', '447', '432', '37', '268']
['394', '465', '582', '750', '468']
['315', '278', '484', '314', '802']
['560', '964', '453', '753', '228']
