['368', '22', '859', '499', '197', '465', '723', '725', '966', '38', '394', '959', '679', '202', '852', '79', '650', '823', '196', '385']
['5', '611', '217', '753', '441', '459', '563', '377', '52', '747', '181', '752', '346', '716', '18', '602', '628', '687', '513', '99']
['414', '351', '227', '95', '274', '178', '442', '268', '437', '978', '175', '74', '66', '984', '826', '568', '245', '665', '683', '594']
['842', '135', '722', '315', '50', '806', '309', '711', '956', '281', '113', '670', '595', '691', '817', '998', '374', '106', '916', '525']
['812', '533', '591', '372', '270', '520', '798', '592', '201', '359', '107', '26', '475', '651', '993', '524', '980', '226', '776', '325']
['675', '62', '15', '897', '754', '69', '314', '571', '312', '760', '98', '708', '786', '161', '622', '114', '943', '477', '934', '604']
['549', '259', '744', '208', '659', '914', '720', '490', '888', '911', '761', '801', '497', '600', '25', '890', '939', '642', '165', '793']
['379', '704', '831', '663', '634', '908', '289', '865', '284', '396', '460', '449', '166', '330', '889', '638', '80', '402', '987', '118']
['715', '156', '788', '534', '714', '496', '593', '623', '627', '498', '569', '491', '780', '369', '362', '920', '649', '300', '424', '361']
['719', '213', '294', '586', '434', '448', '453', '820', '775', '164', '537', '694', '615', '556', '985', '517', '401', '902', '904', '975']
['891', '152', '816', '194', '827', '337', '132', '878', '229', '523', '942', '443', '728', '903', '190', '605', '451', '503', '322', '606']
['996', '488', '653', '581', '282', '356', '564', '913', '973', '721', '150', '421', '682', '365', '990', '231', '86', '701', '574', '740']
['625', '654', '923', '205', '292', '474', '404', '96', '193', '805', '543', '407', '100', '964', '885', '345', '111', '861', '183', '483']
['907', '835', '947', '656', '840', '131', '601', '375', '883', '416', '221', '667', '787', '864', '266', '905', '41', '540', '844', '808']
['845', '552', '324', '538', '614', '288', '223', '83', '960', '509', '473', '854', '858', '67', '846', '632', '51', '140', '930', '94']
['579', '433', '958', '199', '61', '172', '573', '162', '580', '853', '252', '342', '73', '14', '684', '153', '173', '501', '906', '431']
['60', '303', '151', '308', '296', '189', '391', '994', '256', '528', '612', '736', '567', '35', '928', '652', '224', '584', '995', '429']
['31', '935', '326', '755', '824', '841', '348', '253', '922', '609', '27', '88', '341', '626', '621', '257', '126', '78', '661', '660']
['485', '304', '168', '11', '380', '822', '355', '815', '17', '104', '972', '393', '395', '771', '455', '134', '868', '260', '158', '171']
