['123', '884', '895', '424', '80']
['496', '555', '911', '432', '924']
['248', '544', '157', '581', '816']
['923', '984', '725', '299', '231']
['124', '982', '902', '327', '899']
['872', '591', '997', '259', '760']
['344', '855', '775', '960', '452']
['617', '303', '237', '158', '863']
['395', '572', '68', '150', '290']
['203', '426', '549', '254', '504']
['315', '470', '866', '75', '33']
['374', '465', '918', '710', '521']
['213', '188', '125', '542', '425']
['707', '350', '272', '835', '385']
['437', '663', '757', '737', '512']
['584', '377', '127', '353', '257']
['182', '151', '653', '746', '230']
['268', '305', '240', '916', '50']
['981', '321', '475', '682', '238']
['25', '804', '674', '466', '976']
['499', '646', '159', '181', '74']
['516', '996', '803', '712', '595']
['495', '994', '969', '875', '947']
['821', '849', '733', '973', '519']
['833', '807', '316', '847', '253']
['938', '162', '743', '539', '616']
['623', '908', '964', '442', '892']
['93', '168', '198', '460', '839']
['227', '588', '112', '721', '541']
['416', '723', '122', '846', '668']
['837', '108', '21', '917', '940']
['654', '956', '269', '397', '574']
['564', '114', '800', '506', '524']
['486', '761', '348', '744', '661']
['977', '251', '714', '415', '53']
['171', '59', '968', '291', '838']
['311', '869', '271', '986', '529']
['408', '364', '77', '489', '310']
['429', '926', '208', '587', '128']
['511', '119', '7', '63', '409']
['180', '952', '515', '528', '27']
['58', '154', '493', '383', '557']
['559', '456', '333', '23', '885']
['247', '206', '473', '449', '339']
['558', '649', '455', '261', '874']
['359', '387', '671', '700', '47']
['484', '540', '16', '640', '175']
['985', '284', '197', '109', '827']
['306', '965', '129', '219', '501']
['345', '406', '443', '178', '46']
['634', '163', '201', '823', '560']
['167', '65', '241', '276', '556']
['355', '430', '632', '658', '755']
['580', '888', '12', '476', '990']
['319', '704', '662', '686', '510']
['578', '286', '889', '301', '447']
['726', '951', '758', '756', '754']
['970', '87', '169', '450', '37']
['29', '79', '35', '948', '809']
['378', '569', '308', '819', '126']
['907', '270', '102', '376', '434']
['568', '494', '958', '462', '302']
['382', '325', '391', '717', '170']
['90', '514', '840', '500', '852']
['265', '10', '777', '252', '780']
['774', '116', '226', '729', '769']
['264', '971', '732', '381', '828']
['762', '834', '694', '832', '436']
['905', '260', '380', '901', '660']
['352', '0', '26', '991', '195']
['9', '670', '419', '621', '335']
['113', '357', '943', '103', '192']
['805', '598', '520', '688', '708']
['5', '215', '711', '570', '604']
['464', '543', '806', '28', '347']
['73', '373', '720', '34', '928']
['677', '20', '280', '678', '931']
['97', '403', '886', '467', '989']
['535', '531', '1', '523', '680']
['576', '666', '360', '191', '498']
['625', '896', '292', '164', '909']
['106', '375', '602', '675', '266']
