['709', '869', '653', '32', '456', '460', '631', '700', '253', '609', '569', '860', '504', '638', '998', '80', '907', '616', '139', '692']
['526', '320', '292', '461', '409', '442', '917', '742', '956', '467', '725', '496', '622', '73', '358', '558', '190', '889', '463', '361']
['338', '462', '480', '61', '434', '384', '969', '545', '378', '373', '644', '929', '475', '26', '892', '406', '796', '598', '147', '793']
['923', '211', '968', '232', '216', '962', '867', '82', '498', '695', '949', '943', '48', '174', '89', '140', '784', '974', '186', '424']
['617', '624', '324', '797', '194', '888', '672', '66', '766', '124', '691', '426', '35', '335', '773', '339', '191', '92', '316', '471']
['485', '227', '484', '364', '306', '520', '175', '131', '300', '411', '52', '677', '247', '254', '687', '527', '764', '148', '852', '935']
['812', '15', '948', '748', '315', '785', '108', '348', '91', '99', '981', '21', '728', '936', '955', '159', '402', '790', '362', '50']
['357', '833', '918', '607', '637', '510', '851', '408', '101', '403', '710', '879', '972', '331', '645', '218', '743', '288', '219', '844']
['214', '298', '544', '886', '724', '459', '553', '308', '396', '16', '589', '761', '847', '636', '150', '278', '632', '245', '20', '105']
['22', '997', '572', '991', '563', '839', '210', '570', '104', '283', '922', '318', '868', '515', '826', '310', '517', '169', '157', '975']
['579', '264', '989', '941', '565', '560', '182', '483', '296', '133', '143', '901', '160', '951', '493', '866', '454', '649', '43', '696']
['225', '84', '747', '12', '405', '953', '803', '36', '490', '711', '571', '959', '248', '10', '751', '400', '329', '145', '347', '947']
